index,char,char_name,font_file,font_size,background_color,file_name
0,0,0,Andada-Regular.otf,18,215,./chars/1_Andada-Regular.otf_fs_18_bc_215.0.png
0,0,0,Andada-Regular.otf,18,225,./chars/2_Andada-Regular.otf_fs_18_bc_225.0.png
0,0,0,Andada-Regular.otf,18,235,./chars/3_Andada-Regular.otf_fs_18_bc_235.0.png
0,0,0,Andada-Regular.otf,18,245,./chars/4_Andada-Regular.otf_fs_18_bc_245.0.png
0,0,0,Andada-Regular.otf,18,0,./chars/5_Andada-Regular.otf_fs_18_bc_0.0.png
0,0,0,Andada-Regular.otf,18,10,./chars/6_Andada-Regular.otf_fs_18_bc_10.0.png
0,0,0,Andada-Regular.otf,18,20,./chars/7_Andada-Regular.otf_fs_18_bc_20.0.png
0,0,0,Andada-Regular.otf,18,30,./chars/8_Andada-Regular.otf_fs_18_bc_30.0.png
0,0,0,Andada-Regular.otf,18,135,./chars/9_Andada-Regular.otf_fs_18_bc_135.0.png
0,0,0,Andada-Regular.otf,18,145,./chars/10_Andada-Regular.otf_fs_18_bc_145.0.png
0,0,0,Andada-Regular.otf,18,155,./chars/11_Andada-Regular.otf_fs_18_bc_155.0.png
0,0,0,Andada-Regular.otf,24,215,./chars/12_Andada-Regular.otf_fs_24_bc_215.0.png
0,0,0,Andada-Regular.otf,24,225,./chars/13_Andada-Regular.otf_fs_24_bc_225.0.png
0,0,0,Andada-Regular.otf,24,235,./chars/14_Andada-Regular.otf_fs_24_bc_235.0.png
0,0,0,Andada-Regular.otf,24,245,./chars/15_Andada-Regular.otf_fs_24_bc_245.0.png
0,0,0,Andada-Regular.otf,24,0,./chars/16_Andada-Regular.otf_fs_24_bc_0.0.png
0,0,0,Andada-Regular.otf,24,10,./chars/17_Andada-Regular.otf_fs_24_bc_10.0.png
0,0,0,Andada-Regular.otf,24,20,./chars/18_Andada-Regular.otf_fs_24_bc_20.0.png
0,0,0,Andada-Regular.otf,24,30,./chars/19_Andada-Regular.otf_fs_24_bc_30.0.png
0,0,0,Andada-Regular.otf,24,135,./chars/20_Andada-Regular.otf_fs_24_bc_135.0.png
0,0,0,Andada-Regular.otf,24,145,./chars/21_Andada-Regular.otf_fs_24_bc_145.0.png
0,0,0,Andada-Regular.otf,24,155,./chars/22_Andada-Regular.otf_fs_24_bc_155.0.png
1,1,1,Andada-Regular.otf,18,215,./chars/23_Andada-Regular.otf_fs_18_bc_215.1.png
1,1,1,Andada-Regular.otf,18,225,./chars/24_Andada-Regular.otf_fs_18_bc_225.1.png
1,1,1,Andada-Regular.otf,18,235,./chars/25_Andada-Regular.otf_fs_18_bc_235.1.png
1,1,1,Andada-Regular.otf,18,245,./chars/26_Andada-Regular.otf_fs_18_bc_245.1.png
1,1,1,Andada-Regular.otf,18,0,./chars/27_Andada-Regular.otf_fs_18_bc_0.1.png
1,1,1,Andada-Regular.otf,18,10,./chars/28_Andada-Regular.otf_fs_18_bc_10.1.png
1,1,1,Andada-Regular.otf,18,20,./chars/29_Andada-Regular.otf_fs_18_bc_20.1.png
1,1,1,Andada-Regular.otf,18,30,./chars/30_Andada-Regular.otf_fs_18_bc_30.1.png
1,1,1,Andada-Regular.otf,18,135,./chars/31_Andada-Regular.otf_fs_18_bc_135.1.png
1,1,1,Andada-Regular.otf,18,145,./chars/32_Andada-Regular.otf_fs_18_bc_145.1.png
1,1,1,Andada-Regular.otf,18,155,./chars/33_Andada-Regular.otf_fs_18_bc_155.1.png
1,1,1,Andada-Regular.otf,24,215,./chars/34_Andada-Regular.otf_fs_24_bc_215.1.png
1,1,1,Andada-Regular.otf,24,225,./chars/35_Andada-Regular.otf_fs_24_bc_225.1.png
1,1,1,Andada-Regular.otf,24,235,./chars/36_Andada-Regular.otf_fs_24_bc_235.1.png
1,1,1,Andada-Regular.otf,24,245,./chars/37_Andada-Regular.otf_fs_24_bc_245.1.png
1,1,1,Andada-Regular.otf,24,0,./chars/38_Andada-Regular.otf_fs_24_bc_0.1.png
1,1,1,Andada-Regular.otf,24,10,./chars/39_Andada-Regular.otf_fs_24_bc_10.1.png
1,1,1,Andada-Regular.otf,24,20,./chars/40_Andada-Regular.otf_fs_24_bc_20.1.png
1,1,1,Andada-Regular.otf,24,30,./chars/41_Andada-Regular.otf_fs_24_bc_30.1.png
1,1,1,Andada-Regular.otf,24,135,./chars/42_Andada-Regular.otf_fs_24_bc_135.1.png
1,1,1,Andada-Regular.otf,24,145,./chars/43_Andada-Regular.otf_fs_24_bc_145.1.png
1,1,1,Andada-Regular.otf,24,155,./chars/44_Andada-Regular.otf_fs_24_bc_155.1.png
2,2,2,Andada-Regular.otf,18,215,./chars/45_Andada-Regular.otf_fs_18_bc_215.2.png
2,2,2,Andada-Regular.otf,18,225,./chars/46_Andada-Regular.otf_fs_18_bc_225.2.png
2,2,2,Andada-Regular.otf,18,235,./chars/47_Andada-Regular.otf_fs_18_bc_235.2.png
2,2,2,Andada-Regular.otf,18,245,./chars/48_Andada-Regular.otf_fs_18_bc_245.2.png
2,2,2,Andada-Regular.otf,18,0,./chars/49_Andada-Regular.otf_fs_18_bc_0.2.png
2,2,2,Andada-Regular.otf,18,10,./chars/50_Andada-Regular.otf_fs_18_bc_10.2.png
2,2,2,Andada-Regular.otf,18,20,./chars/51_Andada-Regular.otf_fs_18_bc_20.2.png
2,2,2,Andada-Regular.otf,18,30,./chars/52_Andada-Regular.otf_fs_18_bc_30.2.png
2,2,2,Andada-Regular.otf,18,135,./chars/53_Andada-Regular.otf_fs_18_bc_135.2.png
2,2,2,Andada-Regular.otf,18,145,./chars/54_Andada-Regular.otf_fs_18_bc_145.2.png
2,2,2,Andada-Regular.otf,18,155,./chars/55_Andada-Regular.otf_fs_18_bc_155.2.png
2,2,2,Andada-Regular.otf,24,215,./chars/56_Andada-Regular.otf_fs_24_bc_215.2.png
2,2,2,Andada-Regular.otf,24,225,./chars/57_Andada-Regular.otf_fs_24_bc_225.2.png
2,2,2,Andada-Regular.otf,24,235,./chars/58_Andada-Regular.otf_fs_24_bc_235.2.png
2,2,2,Andada-Regular.otf,24,245,./chars/59_Andada-Regular.otf_fs_24_bc_245.2.png
2,2,2,Andada-Regular.otf,24,0,./chars/60_Andada-Regular.otf_fs_24_bc_0.2.png
2,2,2,Andada-Regular.otf,24,10,./chars/61_Andada-Regular.otf_fs_24_bc_10.2.png
2,2,2,Andada-Regular.otf,24,20,./chars/62_Andada-Regular.otf_fs_24_bc_20.2.png
2,2,2,Andada-Regular.otf,24,30,./chars/63_Andada-Regular.otf_fs_24_bc_30.2.png
2,2,2,Andada-Regular.otf,24,135,./chars/64_Andada-Regular.otf_fs_24_bc_135.2.png
2,2,2,Andada-Regular.otf,24,145,./chars/65_Andada-Regular.otf_fs_24_bc_145.2.png
2,2,2,Andada-Regular.otf,24,155,./chars/66_Andada-Regular.otf_fs_24_bc_155.2.png
3,3,3,Andada-Regular.otf,18,215,./chars/67_Andada-Regular.otf_fs_18_bc_215.3.png
3,3,3,Andada-Regular.otf,18,225,./chars/68_Andada-Regular.otf_fs_18_bc_225.3.png
3,3,3,Andada-Regular.otf,18,235,./chars/69_Andada-Regular.otf_fs_18_bc_235.3.png
3,3,3,Andada-Regular.otf,18,245,./chars/70_Andada-Regular.otf_fs_18_bc_245.3.png
3,3,3,Andada-Regular.otf,18,0,./chars/71_Andada-Regular.otf_fs_18_bc_0.3.png
3,3,3,Andada-Regular.otf,18,10,./chars/72_Andada-Regular.otf_fs_18_bc_10.3.png
3,3,3,Andada-Regular.otf,18,20,./chars/73_Andada-Regular.otf_fs_18_bc_20.3.png
3,3,3,Andada-Regular.otf,18,30,./chars/74_Andada-Regular.otf_fs_18_bc_30.3.png
3,3,3,Andada-Regular.otf,18,135,./chars/75_Andada-Regular.otf_fs_18_bc_135.3.png
3,3,3,Andada-Regular.otf,18,145,./chars/76_Andada-Regular.otf_fs_18_bc_145.3.png
3,3,3,Andada-Regular.otf,18,155,./chars/77_Andada-Regular.otf_fs_18_bc_155.3.png
3,3,3,Andada-Regular.otf,24,215,./chars/78_Andada-Regular.otf_fs_24_bc_215.3.png
3,3,3,Andada-Regular.otf,24,225,./chars/79_Andada-Regular.otf_fs_24_bc_225.3.png
3,3,3,Andada-Regular.otf,24,235,./chars/80_Andada-Regular.otf_fs_24_bc_235.3.png
3,3,3,Andada-Regular.otf,24,245,./chars/81_Andada-Regular.otf_fs_24_bc_245.3.png
3,3,3,Andada-Regular.otf,24,0,./chars/82_Andada-Regular.otf_fs_24_bc_0.3.png
3,3,3,Andada-Regular.otf,24,10,./chars/83_Andada-Regular.otf_fs_24_bc_10.3.png
3,3,3,Andada-Regular.otf,24,20,./chars/84_Andada-Regular.otf_fs_24_bc_20.3.png
3,3,3,Andada-Regular.otf,24,30,./chars/85_Andada-Regular.otf_fs_24_bc_30.3.png
3,3,3,Andada-Regular.otf,24,135,./chars/86_Andada-Regular.otf_fs_24_bc_135.3.png
3,3,3,Andada-Regular.otf,24,145,./chars/87_Andada-Regular.otf_fs_24_bc_145.3.png
3,3,3,Andada-Regular.otf,24,155,./chars/88_Andada-Regular.otf_fs_24_bc_155.3.png
4,4,4,Andada-Regular.otf,18,215,./chars/89_Andada-Regular.otf_fs_18_bc_215.4.png
4,4,4,Andada-Regular.otf,18,225,./chars/90_Andada-Regular.otf_fs_18_bc_225.4.png
4,4,4,Andada-Regular.otf,18,235,./chars/91_Andada-Regular.otf_fs_18_bc_235.4.png
4,4,4,Andada-Regular.otf,18,245,./chars/92_Andada-Regular.otf_fs_18_bc_245.4.png
4,4,4,Andada-Regular.otf,18,0,./chars/93_Andada-Regular.otf_fs_18_bc_0.4.png
4,4,4,Andada-Regular.otf,18,10,./chars/94_Andada-Regular.otf_fs_18_bc_10.4.png
4,4,4,Andada-Regular.otf,18,20,./chars/95_Andada-Regular.otf_fs_18_bc_20.4.png
4,4,4,Andada-Regular.otf,18,30,./chars/96_Andada-Regular.otf_fs_18_bc_30.4.png
4,4,4,Andada-Regular.otf,18,135,./chars/97_Andada-Regular.otf_fs_18_bc_135.4.png
4,4,4,Andada-Regular.otf,18,145,./chars/98_Andada-Regular.otf_fs_18_bc_145.4.png
4,4,4,Andada-Regular.otf,18,155,./chars/99_Andada-Regular.otf_fs_18_bc_155.4.png
4,4,4,Andada-Regular.otf,24,215,./chars/100_Andada-Regular.otf_fs_24_bc_215.4.png
4,4,4,Andada-Regular.otf,24,225,./chars/101_Andada-Regular.otf_fs_24_bc_225.4.png
4,4,4,Andada-Regular.otf,24,235,./chars/102_Andada-Regular.otf_fs_24_bc_235.4.png
4,4,4,Andada-Regular.otf,24,245,./chars/103_Andada-Regular.otf_fs_24_bc_245.4.png
4,4,4,Andada-Regular.otf,24,0,./chars/104_Andada-Regular.otf_fs_24_bc_0.4.png
