labels,Char,x0,x1,y0,y1
0,"Numărul 42 *Revista este valabilă în perioada: 14.10 – 20.10.2020, cu excepția ofertelor indicate prin „LUNI ȘI MARȚI, 12-13 octombrie‘‘ și „De luni, 19.10 până duminică, 25.10.2020‘‘.  Articolele se găsesc în limita stocului disponibil. Vindem în cantități destinate exclusiv consumului personal. Toate imaginile sunt cu titlu de prezentare. Oferta disponibilă și pe www.kaufland.ro, 12-13 octombrie‘‘ și „De luni, 19.10 până duminică, 25.10.2020‘‘. ",14.17327,533.93083,31.578590000000002,54.57959
1,OFERTĂ ANIVERSARĂ,213.62717,541.7332740641999,772.7878400000001,802.8948399999998
2,valabilă în perioada: 14.10 - 20.10.2020*,359.63107,540.248859039584,761.42993,770.93553
3,de premii,199.84257,333.01257000000004,606.16308,636.16308
4,Peste,211.75256000000002,290.14256,736.57305,766.57305
5,8,373.07895,389.44095,343.36618,370.36618
6,bucăți,368.21466000000004,394.30566,332.56619,341.56619
7,"59,99",419.22537,536.649306488256,75.18089,119.07768999999999
8,-20%,465.959916,511.5900586492979,132.055519,155.01973390954012
9,"74,99",464.46597,508.465545409808,110.43558,127.81298
10,"14,99",422.44897000000003,536.5367532,378.93637,422.83317
11,-37%,468.268412,513.1454296492977,435.87700599999994,458.7753529095401
12,"23,99",464.87457,510.02105624264397,414.19107,431.5684700000001
13, -37%37%,99.65938,144.81430999999995,391.60427999999996,409.60427999999996
14,"1,99",106.30227,159.65427,339.22177,366.22177
15,"3,19",84.81647,114.64047,368.84369,384.84369
16, -27%27%,106.01685,152.66142040000003,182.51398,201.09418
17, -32%,288.91821,330.583456430788,126.93648,143.34658000000005
18,"2,69",110.30216999999999,167.965823208327,128.44849,156.31878999999995
19,"8,99",291.83105,343.86737139999997,78.55909,103.17419
20,"3,69",90.71817,123.452283931703,159.02219,175.53789
21, -31%,289.37939,328.30415127697,494.31277,510.72287
22, -29%,287.86151,329.822136684606,325.10519,341.51529
23, -55%,478.68429000000003,520.234666246182,294.07727,310.48737
24,"2,99",290.99606,342.9585361,446.56198,471.17708
25,"7,99",291.09454,342.9585557,277.35778999999997,301.97289
26,"7,49",482.4277,533.5778763230941,246.31814,270.93324
27,"4,39",274.73306,304.023158121877,473.56469000000004,488.15139000000005
28,"11,29",274.73306,308.136603,304.35717999999997,318.9438800000001
29,"16,99",465.35067000000004,501.2922988,273.32928,287.91598
30,"13,29",275.64206,311.306545000808,105.56178999999999,120.14849
31,Prinde ofertele de,15.83327,155.78367,640.57812,656.57812
32,12-13 octombrie,29.761569,152.550902312,592.632378,617.257655248
33,Toate ofertele ,11.91977,114.0465496,80.246589,102.4242667
34,"LUNI&MARȚI, ",13.266889,114.84024209536001,62.056202,84.19516985071999
35,în pg. ,115.58537700000001,147.943220664,69.211493,83.503528208
36,2-7,148.54037259508002,170.85196365508003,71.51598131626001,88.11282488626001
37,Cotlet de porc ,361.94995,431.41995,417.45428,427.45428
38,fără os,361.94995,395.51995,405.45428,415.45428
39,bucată ideală ,361.94995,414.65395,395.57077000000004,403.57077000000004
40,pentru gătit,361.94995,407.02195,385.97076,393.97076
41,kg,361.94995,370.84595,376.37076,384.37076
42,CRISTIM,283.11337000000003,324.3273700000001,185.12308000000002,195.12308000000002
43,Salam ,283.06338,315.47337999999996,173.12308000000002,183.12308000000002
44,săsesc,283.06338,313.43338,161.12308000000002,171.12308000000002
45,250 g,283.06347,304.43147,151.52309,159.52309
46,PERSIL,469.26895,504.03895000000006,216.74048,226.74048
47,Detergent gel ,469.21896,537.42896,204.74048,214.74048
48,pentru rufe,469.21896,523.9489599999999,192.74048,202.74048
49,universal / color,469.21905,527.75425,182.85698,190.85698
50,100 de utilizări,469.21905,522.80225,172.97697,180.97697
51,5 l,469.21905,478.28305,163.37698,171.37698
52,LUNI& ,78.25596999999999,156.800819416748,434.56119,457.43389
53,MARȚI,78.25596999999999,155.336975053098,416.58325,439.45595
54,LUNI& ,82.52986999999999,157.262647301074,225.93979,247.70239
55,MARȚI,82.52986999999999,155.869839947838,208.8344,230.597
56,BARILLA,207.15306999999999,250.80307,481.73107999999996,491.73107999999996
57,Paste,207.10307,233.75407,469.73107999999996,479.73107999999996
58,diverse ,207.10316,235.32716,459.84759,467.84759
59,sortimente,207.10316,247.24716,450.24759000000006,458.24759000000006
60,500 g,207.10316,228.53516000000002,440.64761,448.64761
61,Pulpe de pui,197.88116000000002,256.40116,300.77768,310.77768
62,inferioare,197.88116000000002,233.82436,290.89419,298.89419
63,refrigerate,197.88116000000002,238.18436,281.01419,289.01419
64,kg,197.88116000000002,206.77716,271.41421,279.41421
65,BECKS,15.37677,47.28677,374.0683,384.0683
66,Bere blondă,15.326770000000002,72.62576999999999,362.0683,372.0683
67,5% alcool,15.326870000000001,50.92687,352.18487000000005,360.18487000000005
68,doză,15.326870000000001,33.22287,342.30487,350.30487
