page_number,chars,x0,x1,width,y0,y1,height
1,2,441.55847,446.09172,4.5332500000000095,358.43979,367.50629000000004,9.066500000000019
1,0,446.09172,450.62497,4.5332500000000095,358.43979,367.50629000000004,9.066500000000019
1,",",450.62497,452.891595,2.2666249999999764,358.43979,367.50629000000004,9.066500000000019
1,3,452.891595,457.424845,4.5332500000000095,358.43979,367.50629000000004,9.066500000000019
1,9,457.424845,461.958095,4.5332500000000095,358.43979,367.50629000000004,9.066500000000019
1,1,453.74737,458.28062,4.5332500000000095,123.16439,132.23089,9.06649999999999
1,1,457.94424994871997,462.47749994872,4.5332500000000095,123.16439,132.23089,9.06649999999999
1,",",462.47749994872,464.74412494871996,2.2666249999999764,123.16439,132.23089,9.06649999999999
1,4,464.74412494872,469.27737494872,4.5332500000000095,123.16439,132.23089,9.06649999999999
1,9,469.27737494871997,473.81062494872,4.5332500000000095,123.16439,132.23089,9.06649999999999
1,N,14.17327,19.50727,5.333999999999998,47.57959,54.57959,7.0
1,u,19.29727,23.17527,3.878,47.57959,54.57959,7.0
1,m,22.96527,28.89427,5.9289999999999985,47.57959,54.57959,7.0
1,ă,28.67727,32.71627,4.0390000000000015,47.57959,54.57959,7.0
1,r,32.50627,34.95627,2.450000000000003,47.57959,54.57959,7.0
1,u,34.74627,38.62427,3.878,47.57959,54.57959,7.0
1,l,38.41427,39.898270000000004,1.4840000000000018,47.57959,54.57959,7.0
1, ,39.68827,41.50827,1.8200000000000003,47.57959,54.57959,7.0
1,4,41.29827,45.477270000000004,4.179000000000002,47.57959,54.57959,7.0
1,3,45.00127,48.92127,3.9200000000000017,47.57959,54.57959,7.0
1, ,48.71127,50.53127,1.8200000000000003,47.57959,54.57959,7.0
1,*,50.32067,53.48207,3.1614000000000004,47.57959,54.179590000000005,6.600000000000001
1,R,53.28407,57.62027,4.336199999999998,47.57959,54.179590000000005,6.600000000000001
1,e,57.19787,60.88727,3.689399999999999,47.57959,54.179590000000005,6.600000000000001
1,v,60.49127,64.06187,3.570599999999999,47.57959,54.179590000000005,6.600000000000001
1,i,63.863870000000006,65.55347,1.6895999999999987,47.57959,54.179590000000005,6.600000000000001
